,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z_beta_insula|participant_id_mu,-0.012,0.266,-0.468,0.536,0.04,0.029,43.0,93.0,1.01
z_pupil|participant_id_offset[42013],-0.742,0.421,-1.481,0.054,0.093,0.067,21.0,24.0,1.13
z_pupil|participant_id_offset[42023],-0.067,0.56,-1.077,0.841,0.106,0.076,29.0,101.0,1.05
z_pupil|participant_id_offset[42033],0.229,0.547,-0.779,1.182,0.229,0.171,6.0,50.0,1.27
z_pupil|participant_id_offset[42043],-0.505,0.512,-1.318,0.52,0.09,0.064,32.0,68.0,1.07
z_pupil|participant_id_offset[42053],0.308,0.452,-0.545,1.123,0.091,0.071,26.0,43.0,1.08
z_pupil|participant_id_offset[42063],0.3,0.525,-0.797,1.319,0.086,0.061,38.0,99.0,1.04
z_pupil|participant_id_offset[42073],-0.939,0.589,-2.099,0.004,0.149,0.108,17.0,55.0,1.12
z_pupil|participant_id_offset[42083],-0.816,0.577,-1.746,0.348,0.163,0.118,14.0,70.0,1.13
z_pupil|participant_id_offset[42103],-0.25,0.549,-1.139,0.755,0.131,0.094,18.0,42.0,1.09
z_pupil|participant_id_offset[42123],-0.015,0.532,-0.928,0.979,0.163,0.118,12.0,80.0,1.12
z_pupil|participant_id_offset[42133],0.667,0.462,-0.237,1.437,0.09,0.064,32.0,43.0,1.09
z_pupil|participant_id_offset[42143],-1.715,0.675,-2.834,-0.621,0.142,0.113,28.0,26.0,1.07
z_pupil|participant_id_offset[42153],-0.883,0.643,-1.928,0.339,0.124,0.089,28.0,71.0,1.04
z_pupil|participant_id_offset[42163],0.242,0.384,-0.431,1.062,0.058,0.041,44.0,66.0,1.05
z_pupil|participant_id_offset[42173],0.656,0.563,-0.47,1.636,0.202,0.153,8.0,13.0,1.23
z_pupil|participant_id_offset[42183],0.822,0.693,-0.264,2.227,0.226,0.165,9.0,18.0,1.21
z_pupil|participant_id_offset[42203],-0.473,0.504,-1.421,0.386,0.09,0.064,34.0,164.0,1.06
z_pupil|participant_id_offset[42213],0.125,0.501,-0.694,1.166,0.106,0.097,22.0,52.0,1.11
z_pupil|participant_id_offset[42233],0.682,0.481,-0.157,1.669,0.074,0.054,44.0,54.0,1.06
z_pupil|participant_id_offset[42253],-0.146,0.52,-1.207,0.814,0.088,0.063,35.0,47.0,1.1
z_pupil|participant_id_offset[42263],0.264,0.732,-1.098,1.74,0.149,0.123,24.0,18.0,1.11
z_pupil|participant_id_offset[42273],-1.165,0.626,-2.195,0.026,0.103,0.073,36.0,56.0,1.03
z_pupil|participant_id_offset[42283],0.642,0.531,-0.447,1.51,0.1,0.071,30.0,58.0,1.02
z_pupil|participant_id_offset[42293],-0.119,0.632,-1.092,1.119,0.142,0.102,20.0,29.0,1.07
z_pupil|participant_id_offset[42303],-0.46,0.548,-1.243,0.565,0.179,0.134,10.0,53.0,1.17
z_pupil|participant_id_offset[42313],-0.204,0.522,-1.083,0.851,0.236,0.178,5.0,53.0,1.34
z_pupil|participant_id_offset[42323],-0.401,0.497,-1.373,0.435,0.132,0.135,28.0,31.0,1.15
z_pupil|participant_id_offset[42343],-1.123,0.444,-2.021,-0.405,0.063,0.045,49.0,138.0,1.04
z_pupil|participant_id_offset[42353],0.011,0.509,-1.057,0.792,0.187,0.138,8.0,25.0,1.23
